Review #,Brand,Variety,Style,Country,Stars,T,T_year,T_rank,Flavor,Spicy
4300,Maruchan,ramen noodle soup chicken flavor,Pack,United States,3.5,,,,Chicken,False
4299,Sau Tao,fresh pasta cuttlefish in squid ink sauce,Tray,Hong Kong,5.0,,,,Seafood,False
4298,Li Xiao Mien,er lu dou pi er,Cup,China,5.0,,,,,False
4297,Kikkoman,spicy garlic noodle kit with sauce,Other,United States,4.5,,,,,True
4296,Paldo,teumsae stir fried ramen,Bowl,South Korea,3.5,,,,,False
4295,Annie Chun's,thai style pad thai noodle bowl,Bowl,United States,0.0,,,,Beef,False
4294,Mom's Dry Noodle,spicy goose oil with shallot,Pack,Taiwan,5.0,,,,,True
4293,Sichuan Baijia,a kuan instant vermicelli hot sour,Cup,China,3.25,,,,,True
4292,MyKuali,white fish broth rice vermicelli,Pack,Malaysia,5.0,,,,Seafood,False
4291,Wu-Mu,mandashi soy sauce vinegar flavor noodle,Pack,Taiwan,4.5,,,,,False
4290,Sempio,korean anchovy noodle soup,Bowl,South Korea,3.5,,,,,False
4289,Ibumie,penang white currymee,Pack,Malaysia,5.0,,,,,False
4288,Sichuan Baijia,a kuan big boss instant vermicelli spicy hot,Cup,China,2.5,,,,Beef,True
4287,Annie Chun's,korean style spicy ramen soup bowl,Bowl,United States,2.0,,,,Beef,True
4286,Samyang Foods,buldak curry artificial spicy chicken flavor ramen,Pack,United States,5.0,,,,Chicken,True
4285,Maruchan,ramen bowl hot spicy chicken flavor ramen noodle soup,Bowl,United States,3.75,,,,Mixed,True
4284,Lotus Foods,spicy kimchi rice ramen noodle soup,Cup,United States,0.0,,,,,True
4283,Dragonfly,premium hot sour instant vermicelli,Cup,United States,1.25,,,,,True
4282,Nissin,u f o truffle carbonara flavour yakisoba,Tray,Singapore,5.0,,,,,False
4281,Wu-Mu,mandashi sesame paste flavor noodle,Pack,Taiwan,5.0,,,,,False
4280,Sempio,korean spicy noodle soup,Bowl,South Korea,4.25,,,,,True
4279,Lotus Foods,tom yum rice ramen noodle soup,Cup,United States,0.0,,,,,False
4278,Yumei,noodle with peas and miscellaneous sauce,Other,China,5.0,,,,,False
4277,Annie Chun's,vegan tonkotsu ramen soup bowl,Bowl,United States,0.0,,,,Mixed,False
4276,Menraku,japanese ramen flaming hot miso,Bowl,United States,2.75,,,,,True
4275,Ollebadang,jeju red banded lobster cup ramen,Cup,South Korea,3.75,,,,Seafood,False
4274,Maruchan,ramen bowl chicken flavor ramen noodle soup,Bowl,United States,4.0,,,,Mixed,False
4273,Wu-Mu,mandashi mala spicy flavor noodle,Pack,Taiwan,3.5,,,,,True
4272,A-Sha,badtz maru mandarin style with sesame boss sauce,Pack,United States,3.5,,,,Beef,False
4271,Lotus Foods,garlicky veggie rice ramen noodle soup,Cup,United States,2.75,,,,,False
4270,Sichuan Baijia,a kuan big boss instant vermicelli spicy and sesame flavor,Cup,China,3.0,,,,Beef,True
4269,Annie Chun's,japanese style shoyu ramen soup bowl,Bowl,United States,0.25,,,,Beef,False
4268,A-Sha,keroppi mandarin style noodles with silly spicy sauce,Pack,United States,5.0,,,,,True
4267,Hai Chi Jia,sour spicy sweet potato noodles,Cup,China,4.75,,,,,True
4266,Maruchan,ramen bowl hot spicy shrimp flavor ramen noodle soup,Bowl,United States,3.75,,,,Mixed,True
4265,Kenko Foods,michio kawamura miso ramen,Pack,Japan,3.5,,,,,False
4264,A-Sha,my melody mandarin style noodles with friendly,Pack,United States,3.5,,,,,False
4263,Sapporo Ichiban,cupstar kitsune udon,Cup,Japan,3.5,,,,,False
4262,A-Sha,hello kitty mandarin style dry noodles with supercute soy sauce,Pack,United States,5.0,,,,,False
4261,Hai Chi Jia,golden soup sour spicy vermicelli,Cup,China,5.0,,,,,True
4260,Knorr,shrimp spinach cream gratin,Cup,Japan,4.0,,,,Seafood,False
4259,Hai Chi Jia,seafood flavor sweet potato noodle,Cup,China,4.0,,,,Seafood,False
4258,Ocean's Halo,plant based vegan beef instant noodle soup ,Bowl,United States,0.0,,,,Beef,False
